size_bytes,modify_time_utc,path,size_kilobytes,size_megabytes,dataset,kind
396936,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/02eounrel.pdf,396.936,0.396936,pdf,benign
250800,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/02frrltr.pdf,250.8,0.2508,pdf,benign
246975,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/02govbnd.pdf,246.975,0.246975,pdf,benign
367605,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/02solp.pdf,367.605,0.367605,pdf,benign
32782,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/030.pdf,32.782,0.032782,pdf,benign
67683,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/031mandelson.pdf,67.683,0.067683,pdf,benign
66789,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/032.pdf,66.789,0.066789,pdf,benign
170338,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/03herman.pdf,170.338,0.170338,pdf,benign
227816,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041.pdf,227.816,0.227816,pdf,benign
175564,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041211-MLA.pdf,175.564,0.175564,pdf,benign
146609,2022-04-30T14:28:00Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041211-arl-ala-reply-comments.pdf,146.609,0.146609,pdf,benign
251034,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041211-society-of-american-archivists.pdf,251.034,0.251034,pdf,benign
329269,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041411jgregg-gautereaux.pdf,329.269,0.329269,pdf,benign
89597,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041411riaa-aaim.pdf,89.597,0.089597,pdf,benign
130658,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041412arsc.pdf,130.658,0.130658,pdf,benign
182234,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041413future-music-coalition.pdf,182.234,0.182234,pdf,benign
39018,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041413nab.pdf,39.018,0.039018,pdf,benign
74917,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041413patrick-loughney.pdf,74.917,0.074917,pdf,benign
42076,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/041413sirius-xm-radio.pdf,42.076,0.042076,pdf,benign
46374,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/042301f.pdf,46.374,0.046374,pdf,benign
46182,2022-04-30T14:28:01Z,gs://drexel_dsci_2022_g4mic/Benign/unzipped/042304f.pdf,46.182,0.046182,pdf,benign
